time_micro,level0
671.668713,20
696.493891,20
721.431822,20
746.515189,20
772.452587,20
798.103019,20
825.787478,20
853.510398,20
878.696122,20
904.407795,20
932.399346,20
961.019182,20
986.204376,20
1014.331988,20
1042.143232,20
1067.296602,20
1092.798389,20
1118.629027,20
1146.614473,20
1174.663198,20
1202.499688,20
1230.828181,20
1258.680403,20
1286.790527,20
1314.768077,20
1342.950865,20
1371.3347,20
1399.464191,20
1427.304593,20
1455.47858,20
1484.602542,20
1512.482282,20
1541.338154,20
1569.664245,20
1598.062003,20
1626.808931,20
1654.574264,20
1682.746584,20
1710.690456,20
1741.350604,20
1769.235652,20
1797.581542,20
1826.19577,20
1857.194971,20
1885.431374,20
1914.240102,20
1943.078248,20
1974.011075,20
2002.330655,20
2030.6551,20
2061.580407,20
2090.332623,20
2121.48535,20
2152.172737,20
2183.103977,20
2211.275399,20
2242.110656,20
2270.875124,20
2299.365146,20
2330.176659,20
2359.042676,20
2390.290901,20
2421.88889,20
2452.551631,20
2480.916872,20
2511.544789,20
2539.786534,20
2570.83269,20
2599.438466,20
2630.287164,20
2659.162461,20
2690.164219,20
2721.091836,20
2752.004367,20
2782.74241,20
2813.790624,20
2844.671499,20
2875.906228,20
2907.171123,20
2938.003716,20
2968.905184,20
2999.947442,20
3030.91351,20
3059.385979,20
3065.510589,21
3090.96989,20
3122.094232,20
3152.922375,20
3184.032982,20
3215.252114,20
3221.326459,21
3247.244932,20
3278.595274,20
3284.614463,21
3310.443586,20
3341.614839,20
3372.669197,20
3404.186759,20
3410.320619,21
3435.963766,20
3467.239336,20
3473.348099,21
3499.358441,20
3530.905169,20
3537.031689,21
3562.365214,20
3568.998176,21
3597.222613,20
3600.061017,20
