THD,material,stall_type,Flush(GB),Cumulative compaction write size,Cumulative compaction write throughput,Cumulative compaction read size,Cumulative compaction read throughput,Cumulative compaction time,Interval compaction write size,Interval compaction write throughput,Interval compaction read size,Interval compaction read throughput,Interval compaction time,level0_slowdown,level0_slowdown_with_compaction,level0_numfiles,level0_numfiles_with_compaction,stop for pending_compaction_bytes,slowdown for pending_compaction_bytes,memtable_compaction,memtable_slowdown,total_write_op,total_write_size(MB),read_performance,max_pending,stop_pending,db_size,read_latency_level0_Count,read_latency_level0_Average,read_latency_level0_StdDev,read_latency_level1_Count,read_latency_level1_Average,read_latency_level1_StdDev,read_latency_level2_Count,read_latency_level2_Average,read_latency_level2_StdDev,read_latency_level3_Count,read_latency_level3_Average,read_latency_level3_StdDev,read_latency_level4_Count,read_latency_level4_Average,read_latency_level4_StdDev,read_latency_level5_Count,read_latency_level5_Average,read_latency_level5_StdDev,read_latency_level6_Count,read_latency_level6_Average,read_latency_level6_StdDev
1,NVMeSSD,Default,78.574,542.11,472.92,511.47,446.19,1295.6,257.07,458.76,248.4,443.29,625.7,1361,63,0,0,0,0,65,0,80M,80568.32,332387,50188696293,50095859399,35222015411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PM,Default,78.574,550.64,586.5,521.53,555.49,1064.6,203.25,575.88,199.22,564.47,397.3,1268,107,0,0,0,0,0,0,80M,80568.32,329694,49538734797,48333200012,35210829468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATAHDD,Default,78.574,515.22,111.01,490.07,105.59,5755.9,57.64,106.8,57.29,106.16,646.7,1726,204,0,0,0,0,1084,0,80M,80568.32,336465,49999015720,47269937630,27367277508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATASSD,Default,78.574,530.36,263.07,500.27,248.14,2406.3,65.26,252.71,63.51,245.95,299.7,1525,118,0,0,0,0,1195,0,80M,80568.32,344225,50408057055,48951563108,32975290015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NVMeSSD,Limit,78.574,819.23,434.78,797.29,423.13,2019.7,52.77,417.41,53.7,424.74,131.0,22,12,0,0,0,2680,109,0,80M,80568.32,412365,14372996462,8174479126,24721834804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PM,Limit,78.574,815.52,564.52,793.41,549.21,1558.0,145.62,533.92,145.98,535.21,281.0,14,8,0,0,0,2469,0,0,80M,80568.32,460077,14037636499,8173496777,25021065759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATAHDD,Limit,78.574,781.25,102.65,758.15,99.61,8702.4,56.0,96.6,55.98,96.58,647.7,33,22,0,0,0,4001,423,0,80M,80568.32,470739,14285099734,11307942416,24855103465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATASSD,Limit,78.574,791.55,240.32,769.36,233.58,3701.2,84.49,232.1,85.1,233.78,399.8,26,14,0,0,0,3042,849,0,80M,80568.32,453850,14411682737,8524071795,24764156251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NVMeSSD,RO,78.574,542.76,482.02,511.48,454.24,1267.9,253.7,469.75,245.19,453.99,599.3,1389,60,0,0,0,0,28,0,80M,80568.32,368586,50541865416,49470302409,35125647115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PM,RO,78.574,550.24,583.4,521.37,552.78,1070.5,203.4,569.39,199.54,558.58,398.1,1280,109,0,0,0,0,0,0,80M,80568.32,347667,49446251970,47887167720,35337207169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATAHDD,RO,78.574,515.63,117.6,489.96,111.75,5409.3,32.63,115.36,32.28,114.1,340.3,1700,202,0,0,0,0,1093,0,80M,80568.32,338689,49816511056,49108345758,28152360612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SATASSD,RO,78.574,536.97,269.9,507.48,255.07,2364.6,61.18,264.02,60.41,260.72,264.6,1503,120,0,0,0,0,1131,0,80M,80568.32,456332,49968985203,43841071077,32411784860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
