,THD,material,batch_size,wa
0,1,NVMeSSD,128MB,9.529038301415488
6,4,NVMeSSD,128MB,12.342839300582847
3,20,NVMeSSD,128MB,12.196867194004994
9,1,PM,128MB,10.225593255620316
15,4,PM,128MB,12.635564113238965
12,20,PM,128MB,12.505811129614209
18,1,SATAHDD,128MB,8.663440188731613
24,4,SATAHDD,128MB,8.292308492922565
21,20,SATAHDD,128MB,8.5453961976131
27,1,SATASSD,128MB,8.974205523175131
33,4,SATASSD,128MB,8.667603386067166
30,20,SATASSD,128MB,9.375693866222592
1,1,NVMeSSD,512MB,8.492022645393721
7,4,NVMeSSD,512MB,8.905327250364193
4,20,NVMeSSD,512MB,8.956445126791525
10,1,PM,512MB,8.772898565895531
16,4,PM,512MB,9.006341757024346
13,20,PM,512MB,8.877151356019436
19,1,SATAHDD,512MB,6.018737405898619
25,4,SATAHDD,512MB,6.2276577370308015
22,20,SATAHDD,512MB,6.592635885447107
28,1,SATASSD,512MB,6.920339160473151
34,4,SATASSD,512MB,7.994452053002085
31,20,SATASSD,512MB,8.038067988520286
2,1,NVMeSSD,64MB,10.50654076063415
8,4,NVMeSSD,64MB,13.64688555834705
5,20,NVMeSSD,64MB,12.848392965433595
11,1,PM,64MB,11.093303300701724
17,4,PM,64MB,13.607814259724508
14,20,PM,64MB,13.194576799792081
20,1,SATAHDD,64MB,10.111149614484969
26,4,SATAHDD,64MB,9.75067140258165
23,20,SATAHDD,64MB,8.744260590834271
29,1,SATASSD,64MB,10.33596118859915
35,4,SATASSD,64MB,9.888157324785585
32,20,SATASSD,64MB,9.265442259377977
