material,batch_size,level,avg,std,count
SATASSD,64MB,0,1.1118,1.63,12819876
SATASSD,64MB,1,0.956,2.45,24087434
SATASSD,64MB,2,1.1469,1.76,66183418
SATASSD,64MB,3,1.6366,1.27,23824961
SATASSD,128MB,0,1.0135,2.36,11980327
SATASSD,128MB,1,0.9469,2.98,22446743
SATASSD,128MB,2,1.2364,2.07,69862418
SATASSD,128MB,3,1.5765,1.54,3703237
SATASSD,512MB,0,0.9388,6.63,11721737
SATASSD,512MB,1,0.9515,4.01,17710994
SATASSD,512MB,2,1.1969,3.82,80101938
SATASSD,512MB,3,1.5657,3.02,819044
SATASSD,256MB,0,0.9608,3.3,12381284
SATASSD,256MB,1,0.9353,3.14,21138134
SATASSD,256MB,2,1.219,2.87,76875864
SATASSD,256MB,3,1.5945,1.27,2066677
NVMeSSD,64MB,0,0.9927,1.04,12442546
NVMeSSD,64MB,1,0.8822,1.63,23578184
NVMeSSD,64MB,2,0.9678,1.56,60313047
NVMeSSD,64MB,3,1.5917,1.06,39124109
NVMeSSD,128MB,0,0.9354,1.39,12293464
NVMeSSD,128MB,1,0.8803,2.24,20445220
NVMeSSD,128MB,2,0.9526,2.21,59987588
NVMeSSD,128MB,3,1.5353,1.41,39305242
NVMeSSD,512MB,0,0.8323,6.64,10979257
NVMeSSD,512MB,1,0.8836,4.63,10983187
NVMeSSD,512MB,2,0.8645,4.4,63138117
NVMeSSD,512MB,3,1.3528,3.09,54788961
NVMeSSD,256MB,0,0.8971,1.97,11880489
NVMeSSD,256MB,1,0.9149,2.9,18251936
NVMeSSD,256MB,2,0.9293,3.2,60277649
NVMeSSD,256MB,3,1.4328,2.18,48389401
SATAHDD,64MB,0,1.3494,6.22,12162441
SATAHDD,64MB,1,1.1534,2.62,24848707
SATAHDD,64MB,2,1.3283,1.68,69882996
SATAHDD,64MB,3,1.6004,1.43,9959987
SATAHDD,128MB,0,1.2089,2.25,13998594
SATAHDD,128MB,1,1.0511,3.46,22296843
SATAHDD,128MB,2,1.3443,8.79,66988461
SATAHDD,128MB,3,1.6565,1.77,1941922
SATAHDD,512MB,0,1.1475,6.38,14389104
SATAHDD,512MB,1,1.1383,5.54,23137460
SATAHDD,512MB,2,1.435,4.0,49535183
SATAHDD,512MB,3,0.0,0.0,0
SATAHDD,256MB,0,1.1148,3.23,14259999
SATAHDD,256MB,1,1.0105,4.44,22539047
SATAHDD,256MB,2,1.3643,2.66,59984437
SATAHDD,256MB,3,1.6737,4.83,95277
PM,64MB,0,0.9487,0.83,12224822
PM,64MB,1,0.8572,1.16,23509023
PM,64MB,2,0.9111,1.06,60263561
PM,64MB,3,1.5449,0.84,44245203
PM,128MB,0,0.8851,1.14,11917516
PM,128MB,1,0.8599,1.4,20005346
PM,128MB,2,0.8995,1.38,59594958
PM,128MB,3,1.4798,1.04,46585102
PM,512MB,0,0.8362,3.82,10979265
PM,512MB,1,0.9025,2.58,7791473
PM,512MB,2,0.859,2.79,67748156
PM,512MB,3,1.3416,1.95,58674896
PM,256MB,0,0.8662,1.62,11549390
PM,256MB,1,0.8875,1.86,16683862
PM,256MB,2,0.9047,1.94,62018340
PM,256MB,3,1.3949,1.42,53523046
