material,thread,batch_size,file_write (sec),file_range_sync (sec),file_fsync (sec),file_prepare_write (sec),mutex_waiting (sec),compaction_task_waiting (sec),flush_task_waiting (sec)
PM,1,64MB,224.5,0.0,247.41,11.35,14.89,80.01,1728.84
PM,1,128MB,211.9,0.0,237.13,10.08,18.9,118.98,1760.18
PM,4,64MB,267.38,0.0,316.66,11.97,21.13,5638.87,1728.81
PM,4,128MB,238.55,0.0,281.08,11.06,13.84,5874.05,1761.41
PM,12,64MB,284.28,0.0,502.02,12.32,17.52,21182.89,1731.25
PM,12,128MB,246.43,0.0,358.22,11.14,19.67,21088.97,1761.47
NVMeSSD,1,64MB,203.64,0.0,415.91,11.37,20.81,56.61,1696.96
NVMeSSD,1,128MB,195.14,0.0,390.91,10.11,18.77,96.59,1728.83
NVMeSSD,4,64MB,310.76,0.0,997.81,20.86,22.73,4867.49,1662.52
NVMeSSD,4,128MB,240.08,0.0,953.37,14.35,19.45,5253.92,1696.8
NVMeSSD,12,64MB,296.37,0.0,2320.69,20.23,23.31,19528.92,1616.92
NVMeSSD,12,128MB,261.13,0.0,1525.56,20.16,19.04,20285.4,1695.58
SATASSD,1,64MB,148.69,0.0,992.2,9.53,14.13,30.51,1610.36
SATASSD,1,128MB,146.87,0.0,1029.83,9.06,13.79,43.38,1590.09
SATASSD,4,64MB,306.26,0.0,4499.73,79.89,38.23,1851.03,1256.06
SATASSD,4,128MB,217.9,0.0,4247.28,55.91,25.17,2456.36,1314.05
SATASSD,12,64MB,306.55,0.0,11481.22,216.45,380.11,11049.51,665.78
SATASSD,12,128MB,235.72,0.0,8843.44,74.96,159.0,13979.32,930.92
SATAHDD,1,64MB,96.7,0.0,1531.48,10.62,14.54,18.31,1511.39
SATAHDD,1,128MB,90.13,0.0,1691.11,8.98,14.41,28.64,1409.88
SATAHDD,4,64MB,155.37,0.0,5771.23,120.56,434.4,2198.19,441.8
SATAHDD,4,128MB,112.08,0.0,6006.16,96.66,555.62,2118.81,345.78
SATAHDD,12,64MB,167.17,0.0,11405.5,290.7,1182.57,11975.95,282.94
SATAHDD,12,128MB,131.61,0.0,11921.48,293.33,785.23,11759.88,292.95
