,material,threads,batch_size,appear in level0,appear in level1,appear in level2,appear in level3,max in level0,max in level1,max in level2,max in level3
0,SATASSD,1,64MB,23,41,236,290,1.71,7.11,13.88,668.24
1,SATASSD,1,128MB,21,31,152,135,3.67,10.91,12.17,1013.19
2,SATASSD,1,512MB,6,8,38,1,16.59,118.49,30.93,209.68
3,SATASSD,1,256MB,15,18,76,0,7.58,16.11,20.53,
4,SATASSD,12,64MB,15,39,75,292,1.82,7.42,15.71,123.89
5,SATASSD,12,128MB,12,20,36,145,3.7,11.46,12.44,123.7
6,SATASSD,12,512MB,5,6,24,35,16.23,72.62,30.81,610.01
7,SATASSD,12,256MB,9,10,27,74,7.51,17.05,20.29,315.78
8,SATASSD,4,64MB,17,69,101,280,1.77,7.0,14.12,120.79
9,SATASSD,4,128MB,13,19,45,149,3.76,11.49,12.47,174.18
10,SATASSD,4,512MB,6,6,23,38,16.43,117.89,30.15,577.65
11,SATASSD,4,256MB,9,10,32,73,7.46,16.42,20.57,381.3
12,SATASSD,16,64MB,12,21,67,296,1.81,6.94,14.19,144.49
13,SATASSD,16,128MB,12,16,36,149,3.62,11.05,12.25,172.67
14,SATASSD,16,512MB,4,4,16,38,16.05,115.72,29.57,203.28
15,SATASSD,16,256MB,7,7,30,74,7.47,15.89,19.95,105.61
16,NVMeSSD,1,64MB,20,32,181,294,1.63,6.43,13.59,131.4
17,NVMeSSD,1,128MB,12,17,86,140,3.39,10.43,12.16,89.98
18,NVMeSSD,1,512MB,3,3,13,39,15.46,404.74,29.52,114.92
19,NVMeSSD,1,256MB,5,7,34,76,7.07,14.89,19.55,103.95
20,NVMeSSD,12,64MB,12,18,81,301,1.67,6.71,13.92,99.29
21,NVMeSSD,12,128MB,9,12,57,149,3.41,10.53,12.01,89.62
22,NVMeSSD,12,512MB,2,3,12,39,15.36,496.12,29.08,114.47
23,NVMeSSD,12,256MB,3,4,23,75,7.03,14.65,19.44,103.91
24,NVMeSSD,4,64MB,11,15,82,296,1.65,6.55,13.84,102.46
25,NVMeSSD,4,128MB,8,10,57,150,3.37,10.38,11.99,89.2
26,NVMeSSD,4,512MB,2,3,13,36,15.46,401.66,29.21,113.5
27,NVMeSSD,4,256MB,4,5,24,77,7.32,15.35,20.1,106.12
28,NVMeSSD,16,64MB,9,13,60,296,1.68,6.5,13.54,105.57
29,NVMeSSD,16,128MB,7,10,50,156,3.35,10.23,11.92,88.43
30,NVMeSSD,16,512MB,2,3,12,37,15.29,459.5,28.75,112.28
31,NVMeSSD,16,256MB,4,4,23,79,7.15,14.98,19.67,104.15
32,SATAHDD,1,64MB,27,47,269,197,2.18,8.66,18.28,1546.99
33,SATAHDD,1,128MB,24,37,143,0,4.27,13.81,16.11,
34,SATAHDD,1,512MB,17,17,29,0,18.84,81.03,32.62,
35,SATAHDD,1,256MB,22,30,73,0,9.06,19.85,22.17,
36,SATAHDD,12,64MB,20,102,125,243,2.2,9.14,18.02,224.82
37,SATAHDD,12,128MB,13,21,36,141,4.24,13.39,16.2,172.94
38,SATAHDD,12,512MB,11,10,15,31,17.65,77.49,31.46,482.22
39,SATAHDD,12,256MB,12,17,20,69,8.58,19.12,20.96,204.43
40,SATAHDD,4,64MB,20,99,86,238,2.45,11.4,26.63,202.67
41,SATAHDD,4,128MB,14,39,45,131,4.13,13.28,15.92,176.45
42,SATAHDD,4,512MB,9,11,17,33,18.03,78.29,31.78,528.49
43,SATAHDD,4,256MB,14,24,28,64,8.45,18.58,21.42,196.92
44,SATAHDD,16,64MB,16,58,84,276,3.38,9.59,18.57,195.73
45,SATAHDD,16,128MB,16,44,45,121,4.3,14.53,15.68,255.4
46,SATAHDD,16,512MB,9,11,19,34,17.5,74.87,31.23,536.14
47,SATAHDD,16,256MB,11,13,19,71,9.46,23.87,28.79,263.95
48,PM,1,64MB,20,33,182,287,1.6,6.35,13.57,99.41
49,PM,1,128MB,9,12,66,155,3.3,10.17,11.97,86.89
50,PM,1,512MB,2,3,12,38,15.11,489.73,28.56,113.19
51,PM,1,256MB,4,5,23,76,7.01,14.64,19.38,102.42
52,PM,12,64MB,9,13,65,297,1.59,6.34,13.57,85.48
53,PM,12,128MB,7,9,47,152,3.26,10.08,11.84,88.1
54,PM,12,512MB,2,3,12,39,15.36,496.12,29.08,114.47
55,PM,12,256MB,3,4,21,76,7.15,14.85,19.58,103.34
56,PM,4,64MB,9,13,66,300,1.59,6.31,13.5,85.08
57,PM,4,128MB,7,9,48,155,3.31,10.2,11.97,86.18
58,PM,4,512MB,2,3,12,39,15.08,487.08,28.55,112.63
59,PM,4,256MB,3,4,23,76,7.11,14.85,19.59,103.88
60,PM,16,64MB,9,13,68,299,1.63,6.6,13.82,85.15
61,PM,16,128MB,7,9,49,150,3.38,10.18,12.0,88.97
62,PM,16,512MB,2,3,12,38,15.07,482.51,28.6,112.53
63,PM,16,256MB,3,4,21,76,6.97,14.64,19.39,102.92
